multi_landsat_AOI-00_W2024_RMSE,multi_aoi_ols,landsat,AOI-00,2025,W2024,RMSE,0.0564420936508308,0.056442,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,results/primary/multi_aoi/multi_aoi_metrics.csv,AOI=AOI-00; sensor=landsat; window=W2024; target_year=2025,code/primary_analysis/build_canonical_nonoverlap_outputs.py,CANONICAL
multi_landsat_AOI-00_W2024_MAE,multi_aoi_ols,landsat,AOI-00,2025,W2024,MAE,0.0458712970417949,0.045871,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,results/primary/multi_aoi/multi_aoi_metrics.csv,AOI=AOI-00; sensor=landsat; window=W2024; target_year=2025,code/primary_analysis/build_canonical_nonoverlap_outputs.py,CANONICAL
multi_landsat_AOI-00_W2024_Bias,multi_aoi_ols,landsat,AOI-00,2025,W2024,Bias,-0.0272877164921305,-0.027288,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,results/primary/multi_aoi/multi_aoi_metrics.csv,AOI=AOI-00; sensor=landsat; window=W2024; target_year=2025,code/primary_analysis/build_canonical_nonoverlap_outputs.py,CANONICAL
multi_landsat_AOI-00_W2024_R2,multi_aoi_ols,landsat,AOI-00,2025,W2024,R2,0.6589457461127983,0.6589457461127983,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,results/primary/multi_aoi/multi_aoi_metrics.csv,AOI=AOI-00; sensor=landsat; window=W2024; target_year=2025,code/primary_analysis/build_canonical_nonoverlap_outputs.py,CANONICAL
multi_landsat_AOI-00_W2024_Pearson_r,multi_aoi_ols,landsat,AOI-00,2025,W2024,Pearson_r,0.8607811944412875,0.8607811944412875,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,results/primary/multi_aoi/multi_aoi_metrics.csv,AOI=AOI-00; sensor=landsat; window=W2024; target_year=2025,code/primary_analysis/build_canonical_nonoverlap_outputs.py,CANONICAL
multi_landsat_AOI-00_W2022_2023_RMSE,multi_aoi_ols,landsat,AOI-00,2025,W2022_2023,RMSE,0.0494710693808697,0.049471,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,results/primary/multi_aoi/multi_aoi_metrics.csv,AOI=AOI-00; sensor=landsat; window=W2022_2023; target_year=2025,code/primary_analysis/build_canonical_nonoverlap_outputs.py,CANONICAL
multi_landsat_AOI-00_W2022_2023_MAE,multi_aoi_ols,landsat,AOI-00,2025,W2022_2023,MAE,0.0405291375754565,0.040529,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,results/primary/multi_aoi/multi_aoi_metrics.csv,AOI=AOI-00; sensor=landsat; window=W2022_2023; target_year=2025,code/primary_analysis/build_canonical_nonoverlap_outputs.py,CANONICAL
multi_landsat_AOI-00_W2022_2023_Bias,multi_aoi_ols,landsat,AOI-00,2025,W2022_2023,Bias,-0.0050750157569322,-0.005075,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,results/primary/multi_aoi/multi_aoi_metrics.csv,AOI=AOI-00; sensor=landsat; window=W2022_2023; target_year=2025,code/primary_analysis/build_canonical_nonoverlap_outputs.py,CANONICAL
multi_landsat_AOI-00_W2022_2023_R2,multi_aoi_ols,landsat,AOI-00,2025,W2022_2023,R2,0.7379888113696362,0.7379888113696362,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,results/primary/multi_aoi/multi_aoi_metrics.csv,AOI=AOI-00; sensor=landsat; window=W2022_2023; target_year=2025,code/primary_analysis/build_canonical_nonoverlap_outputs.py,CANONICAL
multi_landsat_AOI-00_W2022_2023_Pearson_r,multi_aoi_ols,landsat,AOI-00,2025,W2022_2023,Pearson_r,0.8607811944412872,0.8607811944412872,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,results/primary/multi_aoi/multi_aoi_metrics.csv,AOI=AOI-00; sensor=landsat; window=W2022_2023; target_year=2025,code/primary_analysis/build_canonical_nonoverlap_outputs.py,CANONICAL
multi_landsat_AOI-00_W2023_2024_RMSE,multi_aoi_ols,landsat,AOI-00,2025,W2023_2024,RMSE,0.0530310819217106,0.053031,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,results/primary/multi_aoi/multi_aoi_metrics.csv,AOI=AOI-00; sensor=landsat; window=W2023_2024; target_year=2025,code/primary_analysis/build_canonical_nonoverlap_outputs.py,CANONICAL
multi_landsat_AOI-00_W2023_2024_MAE,multi_aoi_ols,landsat,AOI-00,2025,W2023_2024,MAE,0.0432492653225373,0.043249,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,results/primary/multi_aoi/multi_aoi_metrics.csv,AOI=AOI-00; sensor=landsat; window=W2023_2024; target_year=2025,code/primary_analysis/build_canonical_nonoverlap_outputs.py,CANONICAL
multi_landsat_AOI-00_W2023_2024_Bias,multi_aoi_ols,landsat,AOI-00,2025,W2023_2024,Bias,-0.0197504641536073,-0.019750,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,results/primary/multi_aoi/multi_aoi_metrics.csv,AOI=AOI-00; sensor=landsat; window=W2023_2024; target_year=2025,code/primary_analysis/build_canonical_nonoverlap_outputs.py,CANONICAL
multi_landsat_AOI-00_W2023_2024_R2,multi_aoi_ols,landsat,AOI-00,2025,W2023_2024,R2,0.6989225592062891,0.6989225592062891,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,results/primary/multi_aoi/multi_aoi_metrics.csv,AOI=AOI-00; sensor=landsat; window=W2023_2024; target_year=2025,code/primary_analysis/build_canonical_nonoverlap_outputs.py,CANONICAL
multi_landsat_AOI-00_W2023_2024_Pearson_r,multi_aoi_ols,landsat,AOI-00,2025,W2023_2024,Pearson_r,0.8607811944412884,0.8607811944412884,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,results/primary/multi_aoi/multi_aoi_metrics.csv,AOI=AOI-00; sensor=landsat; window=W2023_2024; target_year=2025,code/primary_analysis/build_canonical_nonoverlap_outputs.py,CANONICAL
multi_landsat_AOI-00_W2022_2024_RMSE,multi_aoi_ols,landsat,AOI-00,2025,W2022_2024,RMSE,0.0514311399500868,0.051431,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,results/primary/multi_aoi/multi_aoi_metrics.csv,AOI=AOI-00; sensor=landsat; window=W2022_2024; target_year=2025,code/primary_analysis/build_canonical_nonoverlap_outputs.py,CANONICAL
multi_landsat_AOI-00_W2022_2024_MAE,multi_aoi_ols,landsat,AOI-00,2025,W2022_2024,MAE,0.042138244427321,0.042138,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,results/primary/multi_aoi/multi_aoi_metrics.csv,AOI=AOI-00; sensor=landsat; window=W2022_2024; target_year=2025,code/primary_analysis/build_canonical_nonoverlap_outputs.py,CANONICAL
multi_landsat_AOI-00_W2022_2024_Bias,multi_aoi_ols,landsat,AOI-00,2025,W2022_2024,Bias,-0.0148883960426229,-0.014888,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,results/primary/multi_aoi/multi_aoi_metrics.csv,AOI=AOI-00; sensor=landsat; window=W2022_2024; target_year=2025,code/primary_analysis/build_canonical_nonoverlap_outputs.py,CANONICAL
multi_landsat_AOI-00_W2022_2024_R2,multi_aoi_ols,landsat,AOI-00,2025,W2022_2024,R2,0.7168154590562494,0.7168154590562494,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,results/primary/multi_aoi/multi_aoi_metrics.csv,AOI=AOI-00; sensor=landsat; window=W2022_2024; target_year=2025,code/primary_analysis/build_canonical_nonoverlap_outputs.py,CANONICAL
multi_landsat_AOI-00_W2022_2024_Pearson_r,multi_aoi_ols,landsat,AOI-00,2025,W2022_2024,Pearson_r,0.8607811944412878,0.8607811944412878,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,results/primary/multi_aoi/multi_aoi_metrics.csv,AOI=AOI-00; sensor=landsat; window=W2022_2024; target_year=2025,code/primary_analysis/build_canonical_nonoverlap_outputs.py,CANONICAL
multi_modis_AOI-00_W2022_RMSE,multi_aoi_ols,modis,AOI-00,2025,W2022,RMSE,0.0428567236749459,0.042857,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,results/primary/multi_aoi/multi_aoi_metrics.csv,AOI=AOI-00; sensor=modis; window=W2022; target_year=2025,code/primary_analysis/build_canonical_nonoverlap_outputs.py,CANONICAL
multi_modis_AOI-00_W2022_MAE,multi_aoi_ols,modis,AOI-00,2025,W2022,MAE,0.0330049589599437,0.033005,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,results/primary/multi_aoi/multi_aoi_metrics.csv,AOI=AOI-00; sensor=modis; window=W2022; target_year=2025,code/primary_analysis/build_canonical_nonoverlap_outputs.py,CANONICAL
multi_modis_AOI-00_W2022_Bias,multi_aoi_ols,modis,AOI-00,2025,W2022,Bias,-0.0094164417593354,-0.009416,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,results/primary/multi_aoi/multi_aoi_metrics.csv,AOI=AOI-00; sensor=modis; window=W2022; target_year=2025,code/primary_analysis/build_canonical_nonoverlap_outputs.py,CANONICAL
multi_modis_AOI-00_W2022_R2,multi_aoi_ols,modis,AOI-00,2025,W2022,R2,0.8074222535834166,0.8074222535834166,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,results/primary/multi_aoi/multi_aoi_metrics.csv,AOI=AOI-00; sensor=modis; window=W2022; target_year=2025,code/primary_analysis/build_canonical_nonoverlap_outputs.py,CANONICAL
multi_modis_AOI-00_W2022_Pearson_r,multi_aoi_ols,modis,AOI-00,2025,W2022,Pearson_r,0.9039491553791996,0.9039491553791996,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,results/primary/multi_aoi/multi_aoi_metrics.csv,AOI=AOI-00; sensor=modis; window=W2022; target_year=2025,code/primary_analysis/build_canonical_nonoverlap_outputs.py,CANONICAL
multi_modis_AOI-00_W2023_RMSE,multi_aoi_ols,modis,AOI-00,2025,W2023,RMSE,0.0418347022994977,0.041835,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,results/primary/multi_aoi/multi_aoi_metrics.csv,AOI=AOI-00; sensor=modis; window=W2023; target_year=2025,code/primary_analysis/build_canonical_nonoverlap_outputs.py,CANONICAL
multi_modis_AOI-00_W2023_MAE,multi_aoi_ols,modis,AOI-00,2025,W2023,MAE,0.0329651744131916,0.032965,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,results/primary/multi_aoi/multi_aoi_metrics.csv,AOI=AOI-00; sensor=modis; window=W2023; target_year=2025,code/primary_analysis/build_canonical_nonoverlap_outputs.py,CANONICAL
multi_modis_AOI-00_W2023_Bias,multi_aoi_ols,modis,AOI-00,2025,W2023,Bias,-0.0005316982009135,-0.000532,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,results/primary/multi_aoi/multi_aoi_metrics.csv,AOI=AOI-00; sensor=modis; window=W2023; target_year=2025,code/primary_analysis/build_canonical_nonoverlap_outputs.py,CANONICAL
multi_modis_AOI-00_W2023_R2,multi_aoi_ols,modis,AOI-00,2025,W2023,R2,0.8164976915126667,0.8164976915126667,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,results/primary/multi_aoi/multi_aoi_metrics.csv,AOI=AOI-00; sensor=modis; window=W2023; target_year=2025,code/primary_analysis/build_canonical_nonoverlap_outputs.py,CANONICAL
multi_modis_AOI-00_W2023_Pearson_r,multi_aoi_ols,modis,AOI-00,2025,W2023,Pearson_r,0.9039382033914638,0.9039382033914638,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,results/primary/multi_aoi/multi_aoi_metrics.csv,AOI=AOI-00; sensor=modis; window=W2023; target_year=2025,code/primary_analysis/build_canonical_nonoverlap_outputs.py,CANONICAL
multi_modis_AOI-00_W2024_RMSE,multi_aoi_ols,modis,AOI-00,2025,W2024,RMSE,0.0444963977992049,0.044496,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,results/primary/multi_aoi/multi_aoi_metrics.csv,AOI=AOI-00; sensor=modis; window=W2024; target_year=2025,code/primary_analysis/build_canonical_nonoverlap_outputs.py,CANONICAL
multi_modis_AOI-00_W2024_MAE,multi_aoi_ols,modis,AOI-00,2025,W2024,MAE,0.0342448811228304,0.034245,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,results/primary/multi_aoi/multi_aoi_metrics.csv,AOI=AOI-00; sensor=modis; window=W2024; target_year=2025,code/primary_analysis/build_canonical_nonoverlap_outputs.py,CANONICAL
multi_modis_AOI-00_W2024_Bias,multi_aoi_ols,modis,AOI-00,2025,W2024,Bias,-0.0127998791318279,-0.012800,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,results/primary/multi_aoi/multi_aoi_metrics.csv,AOI=AOI-00; sensor=modis; window=W2024; target_year=2025,code/primary_analysis/build_canonical_nonoverlap_outputs.py,CANONICAL
multi_modis_AOI-00_W2024_R2,multi_aoi_ols,modis,AOI-00,2025,W2024,R2,0.7924045289014423,0.7924045289014423,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,results/primary/multi_aoi/multi_aoi_metrics.csv,AOI=AOI-00; sensor=modis; window=W2024; target_year=2025,code/primary_analysis/build_canonical_nonoverlap_outputs.py,CANONICAL
multi_modis_AOI-00_W2024_Pearson_r,multi_aoi_ols,modis,AOI-00,2025,W2024,Pearson_r,0.9039382033914616,0.9039382033914616,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,results/primary/multi_aoi/multi_aoi_metrics.csv,AOI=AOI-00; sensor=modis; window=W2024; target_year=2025,code/primary_analysis/build_canonical_nonoverlap_outputs.py,CANONICAL
multi_modis_AOI-00_W2022_2023_RMSE,multi_aoi_ols,modis,AOI-00,2025,W2022_2023,RMSE,0.0419312262114272,0.041931,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,results/primary/multi_aoi/multi_aoi_metrics.csv,AOI=AOI-00; sensor=modis; window=W2022_2023; target_year=2025,code/primary_analysis/build_canonical_nonoverlap_outputs.py,CANONICAL
multi_modis_AOI-00_W2022_2023_MAE,multi_aoi_ols,modis,AOI-00,2025,W2022_2023,MAE,0.0327474991523431,0.032747,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,results/primary/multi_aoi/multi_aoi_metrics.csv,AOI=AOI-00; sensor=modis; window=W2022_2023; target_year=2025,code/primary_analysis/build_canonical_nonoverlap_outputs.py,CANONICAL
multi_modis_AOI-00_W2022_2023_Bias,multi_aoi_ols,modis,AOI-00,2025,W2022_2023,Bias,-0.003707723400219,-0.003708,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,results/primary/multi_aoi/multi_aoi_metrics.csv,AOI=AOI-00; sensor=modis; window=W2022_2023; target_year=2025,code/primary_analysis/build_canonical_nonoverlap_outputs.py,CANONICAL
multi_modis_AOI-00_W2022_2023_R2,multi_aoi_ols,modis,AOI-00,2025,W2022_2023,R2,0.8156499362626483,0.8156499362626483,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,results/primary/multi_aoi/multi_aoi_metrics.csv,AOI=AOI-00; sensor=modis; window=W2022_2023; target_year=2025,code/primary_analysis/build_canonical_nonoverlap_outputs.py,CANONICAL
multi_modis_AOI-00_W2022_2023_Pearson_r,multi_aoi_ols,modis,AOI-00,2025,W2022_2023,Pearson_r,0.9039382033914624,0.9039382033914624,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,results/primary/multi_aoi/multi_aoi_metrics.csv,AOI=AOI-00; sensor=modis; window=W2022_2023; target_year=2025,code/primary_analysis/build_canonical_nonoverlap_outputs.py,CANONICAL
multi_modis_AOI-00_W2023_2024_RMSE,multi_aoi_ols,modis,AOI-00,2025,W2023_2024,RMSE,0.0423814986103728,0.042381,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,results/primary/multi_aoi/multi_aoi_metrics.csv,AOI=AOI-00; sensor=modis; window=W2023_2024; target_year=2025,code/primary_analysis/build_canonical_nonoverlap_outputs.py,CANONICAL
multi_modis_AOI-00_W2023_2024_MAE,multi_aoi_ols,modis,AOI-00,2025,W2023_2024,MAE,0.0330424066343567,0.033042,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,results/primary/multi_aoi/multi_aoi_metrics.csv,AOI=AOI-00; sensor=modis; window=W2023_2024; target_year=2025,code/primary_analysis/build_canonical_nonoverlap_outputs.py,CANONICAL
multi_modis_AOI-00_W2023_2024_Bias,multi_aoi_ols,modis,AOI-00,2025,W2023_2024,Bias,-0.0055904452425919,-0.005590,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,results/primary/multi_aoi/multi_aoi_metrics.csv,AOI=AOI-00; sensor=modis; window=W2023_2024; target_year=2025,code/primary_analysis/build_canonical_nonoverlap_outputs.py,CANONICAL
multi_modis_AOI-00_W2023_2024_R2,multi_aoi_ols,modis,AOI-00,2025,W2023_2024,R2,0.8116694455252969,0.8116694455252969,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,results/primary/multi_aoi/multi_aoi_metrics.csv,AOI=AOI-00; sensor=modis; window=W2023_2024; target_year=2025,code/primary_analysis/build_canonical_nonoverlap_outputs.py,CANONICAL
multi_modis_AOI-00_W2023_2024_Pearson_r,multi_aoi_ols,modis,AOI-00,2025,W2023_2024,Pearson_r,0.9039382033914632,0.9039382033914632,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,results/primary/multi_aoi/multi_aoi_metrics.csv,AOI=AOI-00; sensor=modis; window=W2023_2024; target_year=2025,code/primary_analysis/build_canonical_nonoverlap_outputs.py,CANONICAL
multi_modis_AOI-00_W2022_2024_RMSE,multi_aoi_ols,modis,AOI-00,2025,W2022_2024,RMSE,0.0423813599278264,0.042381,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,results/primary/multi_aoi/multi_aoi_metrics.csv,AOI=AOI-00; sensor=modis; window=W2022_2024; target_year=2025,code/primary_analysis/build_canonical_nonoverlap_outputs.py,CANONICAL
multi_modis_AOI-00_W2022_2024_MAE,multi_aoi_ols,modis,AOI-00,2025,W2022_2024,MAE,0.0329399323498866,0.032940,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,results/primary/multi_aoi/multi_aoi_metrics.csv,AOI=AOI-00; sensor=modis; window=W2022_2024; target_year=2025,code/primary_analysis/build_canonical_nonoverlap_outputs.py,CANONICAL
multi_modis_AOI-00_W2022_2024_Bias,multi_aoi_ols,modis,AOI-00,2025,W2022_2024,Bias,-0.0065957525893229,-0.006596,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,results/primary/multi_aoi/multi_aoi_metrics.csv,AOI=AOI-00; sensor=modis; window=W2022_2024; target_year=2025,code/primary_analysis/build_canonical_nonoverlap_outputs.py,CANONICAL
multi_modis_AOI-00_W2022_2024_R2,multi_aoi_ols,modis,AOI-00,2025,W2022_2024,R2,0.811670678049817,0.811670678049817,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,results/primary/multi_aoi/multi_aoi_metrics.csv,AOI=AOI-00; sensor=modis; window=W2022_2024; target_year=2025,code/primary_analysis/build_canonical_nonoverlap_outputs.py,CANONICAL
multi_modis_AOI-00_W2022_2024_Pearson_r,multi_aoi_ols,modis,AOI-00,2025,W2022_2024,Pearson_r,0.903938203391462,0.903938203391462,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,results/primary/multi_aoi/multi_aoi_metrics.csv,AOI=AOI-00; sensor=modis; window=W2022_2024; target_year=2025,code/primary_analysis/build_canonical_nonoverlap_outputs.py,CANONICAL
multi_sentinel2_AOI-00_W2022_RMSE,multi_aoi_ols,sentinel2,AOI-00,2025,W2022,RMSE,0.0727859818139534,0.072786,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,results/primary/multi_aoi/multi_aoi_metrics.csv,AOI=AOI-00; sensor=sentinel2; window=W2022; target_year=2025,code/primary_analysis/build_canonical_nonoverlap_outputs.py,CANONICAL
multi_sentinel2_AOI-00_W2022_MAE,multi_aoi_ols,sentinel2,AOI-00,2025,W2022,MAE,0.0597696586373336,0.059770,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,results/primary/multi_aoi/multi_aoi_metrics.csv,AOI=AOI-00; sensor=sentinel2; window=W2022; target_year=2025,code/primary_analysis/build_canonical_nonoverlap_outputs.py,CANONICAL
multi_sentinel2_AOI-00_W2022_Bias,multi_aoi_ols,sentinel2,AOI-00,2025,W2022,Bias,-0.0320900111554334,-0.032090,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,results/primary/multi_aoi/multi_aoi_metrics.csv,AOI=AOI-00; sensor=sentinel2; window=W2022; target_year=2025,code/primary_analysis/build_canonical_nonoverlap_outputs.py,CANONICAL
multi_sentinel2_AOI-00_W2022_R2,multi_aoi_ols,sentinel2,AOI-00,2025,W2022,R2,0.4714880048218224,0.4714880048218224,counts: integer; manuscript headline RMSE/differences: 6 decimals; table values: source-derived fixed precision,results/primary/multi_aoi/multi_aoi_metrics.csv,AOI=AOI-00; sensor=sentinel2; window=W2022; target_year=2025,code/primary_analysis/build_canonical_nonoverlap_outputs.py,CANONICAL
